Point	Longitude	Latitude	radius_m	gr	Lr	distance	d2x	d2y
S0550	108.575701	14.499274	11.0	0.5282282059329575	0.8089900654671052	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	12.0	0.6456122516958371	0.1325839534144908	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	13.0	0.44696232809711817	0.055329733396279224	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	14.0	0.6917274125312537	-0.9446702666037208	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	15.0	1.1621020530525066	-0.5369999810049375	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	16.0	0.8473660803507862	-0.502653206730793	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	17.0	0.5696578691433853	-0.7700955427365059	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	18.0	0.9684183775437554	-1.299566091487275	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	19.0	1.325204095586192	-0.7479885526265377	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	20.0	1.0652602152981308	-0.5161604400684894	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	21.0	0.645612251695837	-0.5462292205348511	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	22.0	0.3521521372886381	-1.1708993679611197	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	23.0	0.2526308810983706	-1.802214097215188	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	24.0	0.6456122516958371	-2.6202555160111274	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	25.0	0.9296816424420051	-2.3875055921930013	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	26.0	0.7449372134951961	-2.5466071016397898	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	27.0	0.6456122516958372	-2.7348320931710184	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	28.0	0.5533819300250034	-3.104463017882029	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	29.0	0.3339373715668121	-3.489665825211077	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	30.0	0.2582449006783352	-4.338267854064224	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	31.0	0.6247860500282291	-4.8893405332074416	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	32.0	0.48420918877187735	-4.870717537442054	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	33.0	0.05869202288143981	-5.7283056273798	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	34.0	0.34179472148603074	-6.7283056273798	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	35.0	0.7193965090325041	-6.888980878031042	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	36.0	0.48420918877187846	-6.940391860554026	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	37.0	0.20938775730675824	-7.675001802918132	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	38.0	0.3567857180424358	-8.411992069428617	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	39.0	0.3972998471974378	-8.76447539067157	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	40.0	0.338946432140314	-9.38253783439334	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	41.0	0.2834395251347573	-9.88057877235254	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	42.0	0.27669096501250195	-10.632611336222848	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	43.0	0.4504271523459326	-11.142466202390121	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	44.0	0.39617115444971795	-11.421072120342025	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	45.0	0.4734489845769478	-12.066300194952191	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	46.0	0.505261762196742	-12.138408793858986	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	47.0	0.41209292661436386	-12.683870452902084	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	48.0	0.44385842304088785	-13.013133475326676	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	49.0	0.47432736859285984	-13.463855522622367	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	50.0	0.6197877616280036	-13.708830365231996	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	51.0	0.0	-13.760570403903102	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	52.0	0.0	-52.0	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	53.0	0.0	-53.0	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	54.0	0.0	-54.0	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	55.0	0.0	-55.0	37.72845973974391	32.4467992534957	19.25206203337263
S0550	108.575701	14.499274	56.0	0.0	-56.0	37.72845973974391	32.4467992534957	19.25206203337263
S0551	108.576249	14.499436	1.0	0.0	1.783405651418787	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	2.0	0.9684183775437554	0.783405651418787	98.7819731570409	91.51931080064824	37.17652446602152
S0551	108.576249	14.499436	3.0	0.6456122516958369	0.9363300218223682	98.7819731570409	91.51931080064824	37.17652446602152
